signal_id,timestamp,signal_strength,frequency,bandwidth,modulation_type,encryption_protocol,wavelet_energy,entropy,latency,label
1,1,0.372626267,0.261812894,0.5723546,0,1,39.01093374,0.392630734,0.638414848,0
2,2,0.95082449,0.247079321,0.805949994,0,2,37.01007889,0.650672822,0.358404633,0
3,3,0.731335785,0.906654505,0.76064777,2,2,24.26949735,0.36628529,0.298195278,0
4,4,0.597531935,0.249647888,0.153973953,0,1,21.25047576,0.736052165,0.764492152,0
5,5,0.153337147,0.272061589,0.149320351,0,2,30.18315599,0.576772928,0.269496851,0
6,6,0.153312943,0.759731494,0.268326223,2,0,24.92090178,0.424439612,0.554628102,1
7,7,0.055058084,0.449932446,0.361289836,0,2,11.35089296,0.432786662,0.201423069,1
8,8,0.865989356,0.77705165,0.408702952,0,0,29.52457069,0.079723989,0.393185335,1
9,9,0.599997092,0.065384203,0.68012927,2,2,25.54817715,0.479105351,0.75453611,0
10,10,0.707330388,0.487780978,0.056688285,2,0,22.18681597,0.585463546,0.274104919,1
11,11,0.017427236,0.033617225,0.034665572,1,0,31.80545936,0.528261209,0.753411791,0
12,12,0.970087467,0.062670017,0.392146668,0,1,35.50709868,0.686649478,0.406363786,0
13,13,0.832137349,0.906837461,0.697607638,1,0,23.46688531,0.450835944,0.841728209,0
14,14,0.209855465,0.139296968,0.19353631,1,1,34.20746375,0.468059347,0.018027635,0
15,15,0.179234129,0.532650835,0.64191053,2,2,32.03731584,0.381960766,0.769605023,1
16,16,0.18081922,0.411270657,0.25997431,0,2,33.63697369,0.366072837,0.238230766,0
17,17,0.302081443,0.347489428,0.886658689,0,2,42.87901244,0.462223917,0.892507002,1
18,18,0.523370273,0.900230354,0.896269063,2,0,45.43941154,0.518662825,0.01944081,0
19,19,0.430232824,0.021821668,0.297458882,1,2,23.93565306,0.319985963,0.159329342,0
20,20,0.289022626,0.664079498,0.230119613,2,2,25.78716514,0.401173633,0.280657197,1
21,21,0.610772696,0.963820308,0.411553282,0,1,37.74047663,0.470248771,0.331307927,1
22,22,0.136754318,0.560410937,0.240664619,2,1,24.62091015,0.62900898,0.076333168,1
23,23,0.289941351,0.937236268,0.672810917,0,2,30.18486557,0.461224287,0.491542875,1
24,24,0.364419262,0.052269972,0.826596397,1,2,32.4426518,0.568257827,0.319858552,0
25,25,0.454442538,0.418971869,0.673519687,0,0,31.90296956,0.556520234,0.291234726,0
26,26,0.784704627,0.260264298,0.824880993,1,0,30.18424277,0.861598887,0.787537662,1
27,27,0.197145645,0.731141218,0.397231727,1,2,31.8366964,0.182030053,0.172994057,0
28,28,0.512811317,0.981731094,0.156392664,0,1,29.90592886,0.538544309,0.876010382,0
29,29,0.591266086,0.256634922,0.738422665,0,2,29.81062434,0.617307241,0.586286018,0
30,30,0.043384019,0.654460047,0.360689206,1,0,20.49834787,0.651757408,0.131545254,0
31,31,0.60644952,0.198175956,0.671697141,2,1,29.2319946,0.468969736,0.759584481,1
32,32,0.167893587,0.565575352,0.270797479,0,1,27.0238572,0.610181296,0.459145155,1
33,33,0.062050543,0.464131536,0.081254203,1,0,34.84822363,0.843849988,0.788126531,0
34,34,0.948989296,0.972435114,0.993226886,1,2,33.99656935,0.370519744,0.697829299,1
35,35,0.965794621,0.608791988,0.156277123,2,2,27.12840765,0.497261372,0.394236769,1
36,36,0.808007588,0.349653456,0.989063252,0,2,23.49566983,0.659734091,0.797830688,0
37,37,0.302454274,0.11413596,0.977914605,1,0,24.37833997,0.225353339,0.249424384,0
